id,label,text
1,positive,"Join our passionate team of data scientists who love building products that genuinely change lives. We offer generous equity, flexible working, and a culture built on trust and curiosity."
2,positive,"We're an ambitious company on a mission to democratise financial data. If you want to work on hard problems with smart colleagues in a supportive environment, we'd love to hear from you."
3,positive,"This is a fantastic opportunity to grow your skills alongside world-class engineers. We invest heavily in our people through a dedicated learning budget, mentorship, and regular hackathons."
4,positive,"We celebrate curiosity and encourage experimentation. Mistakes are how we learn, and our blameless post-mortems reflect that. You'll have real ownership and the freedom to innovate."
5,positive,"We're proud of the inclusive culture we've built. Regular team socials, generous parental leave, and a commitment to diversity at all levels aren't just policies — they're who we are."
6,positive,"Exciting work, brilliant colleagues, and an office dog who attends all stand-ups. Our engineering blog has 40,000 subscribers because we love sharing what we build."
7,positive,"You'll be joining a close-knit data team that punches well above its weight. The problems are genuinely interesting and the impact on customers is direct and measurable."
8,positive,"We offer unlimited holidays (and actually encourage people to take them), remote-first working, and a top-quartile compensation package including significant equity."
9,positive,"Our data platform is modern, well-maintained, and a genuine source of pride for the team. No legacy nightmares — just interesting work with the latest tooling."
10,positive,"A rare chance to shape the data strategy of a fast-growing fintech from the ground up. You'll work directly with the CTO and have budget to hire your own team within six months."
11,positive,"We're building something we genuinely believe in. Our NPS scores are the highest in the industry and our customers tell us we've changed the way they work."
12,positive,"Collaborative, low-ego, high-trust environment where everyone's voice is valued regardless of seniority. We debate ideas vigorously and then commit as one team."
13,positive,"Outstanding perks: private healthcare, cycle-to-work, company-funded sabbaticals, and a rooftop terrace that makes Monday mornings genuinely enjoyable."
14,neutral,"We are looking for an experienced Data Analyst to join our Analytics team. You will be responsible for analysing business data and producing reports for senior stakeholders."
15,neutral,"The successful candidate will have at least three years of experience with Python and SQL. Experience with Tableau or Power BI is advantageous but not required."
16,neutral,"This role involves designing and maintaining data pipelines, optimising queries, and working with the engineering team to ensure data quality across all systems."
17,neutral,"Responsibilities include: building and maintaining dashboards, collaborating with product and marketing teams, and presenting findings in weekly business reviews."
18,neutral,"Requirements: strong understanding of statistics, experience with A/B testing, proficiency in at least one programming language, and excellent communication skills."
19,neutral,"As a Machine Learning Engineer you will develop, deploy, and monitor models in production. You will work within an established MLOps framework on a cross-functional squad."
20,neutral,"The Data Engineer will design scalable batch and streaming pipelines using Apache Spark and Kafka. Familiarity with Airflow for orchestration is expected."
21,neutral,"We are a regulated financial institution and require candidates to pass standard background checks. The role is subject to FCA approval."
22,neutral,"The position is based in our London office with the option for up to three days per week remote. Travel to client sites may be required occasionally."
23,neutral,"Salary: £65,000–£85,000 depending on experience. Benefits include pension contribution, 25 days annual leave, and private medical insurance."
24,neutral,"We operate an agile development process with two-week sprints. The team uses Jira for tracking and holds daily stand-ups and bi-weekly retrospectives."
25,neutral,"This is a full-time permanent role. Candidates must have the right to work in the United Kingdom. We are unable to provide sponsorship at this time."
26,neutral,"The ideal candidate will have a degree in Computer Science, Mathematics, or a related discipline, or demonstrably equivalent practical experience."
27,neutral,"You will maintain our data warehouse, contribute to documentation, and participate in code reviews. On-call responsibilities rotate across the team on a monthly basis."
28,neutral,"Applications should be submitted via our careers portal. We aim to respond to all applicants within five working days of submission."
29,neutral,"The team currently consists of four engineers and a lead. There is a defined career path from senior to staff and principal levels."
30,neutral,"We have a structured onboarding programme and assign each new joiner a dedicated buddy for their first 90 days."
31,neutral,"This role reports to the Head of Data Engineering and works closely with the BI and Analytics functions. Matrix management arrangements apply."
32,neutral,"Our technology stack includes Python, dbt, Snowflake, and Airflow. We standardise on these tools and expect the successful candidate to work within this ecosystem."
33,negative,"Candidates must be available to start immediately. We are operating under a strict deadline and cannot accommodate notice periods beyond two weeks."
34,negative,"This is a high-pressure, fast-paced environment. The successful candidate must thrive under tight deadlines and be comfortable with frequent context-switching."
35,negative,"You will be required to be on call 24/7 on a rotating schedule. Incidents must be acknowledged within 15 minutes regardless of time of day."
36,negative,"Mandatory overtime during quarter-end close periods. The role demands a minimum 50-hour week during peak trading windows — this is non-negotiable."
37,negative,"We move fast and expect our engineers to keep up. If you need hand-holding or detailed specifications, this is not the role for you."
38,negative,"Urgently required: candidates must hold all listed certifications before applying. No exceptions. Applications without mandatory requirements will be discarded."
39,negative,"The team is under significant pressure to deliver following a failed platform migration. The incoming engineer will be expected to stabilise the system immediately."
40,negative,"Warning: this is not a 9-to-5. Our culture rewards those who go above and beyond. Work-life balance is a personal responsibility."
41,negative,"You will inherit a complex legacy codebase with minimal documentation. Previous engineers struggled with the technical debt, and we need someone who can turn this around quickly."
42,negative,"Strict performance review at 30, 60, and 90 days. Failure to meet targets within the first quarter will result in a performance improvement plan."
43,negative,"The role requires relocation to our headquarters. Remote working is not available for this position. This requirement is firm and candidates who cannot commit will not be considered."
44,negative,"We are replacing a contractor who left under difficult circumstances. The incoming candidate will need to untangle a number of unresolved issues with no handover."
45,negative,"Absolute must-haves: 7+ years Python, 5+ years production ML, PhD preferred, AWS certification required, Kubernetes expertise essential. Salary: £55,000."
46,neutral,"We are a B2B SaaS company providing analytics tools to enterprise clients. Our platform processes approximately 2 billion events per day."
47,positive,"Our engineering team has kept our system at 99.97% uptime for three consecutive years. We're proud of that and take reliability seriously — in a good way."
48,negative,"Due to restructuring, the team is currently operating with reduced headcount. The incoming analyst will cover responsibilities previously split across two full-time roles."
49,neutral,"We conduct structured competency-based interviews across four stages: screen, technical assessment, system design, and values alignment."
50,positive,"We've won three consecutive awards for being a great place to work. Our Glassdoor score is 4.7 and our voluntary attrition rate is under 5% annually."
